카테고리,공고제목,본문,첨부파일
유관사업 공고조회,[대구] 2025년 4차 소상공인 맞춤형 출산ㆍ양육지원,"공고명 [대구] 2025년 4차 소상공인 맞춤형 출산ㆍ양육지원 사업 모집 공고 지원대상 소상공인 소관기관 대구광역시 지원분야(대) 인력 지원분야(중) 고용유지 사업수행기관 대구광역시행복진흥사회서비스원 문의처 대구광역시행복진흥사회서비스원 여성가족사업팀 출산 소상공인 양육비 지원 053-210-5616 / 무주택 소상공인 육아응원금 지원 053-210-5655 신청기간 예산 소진시까지 공고내용 경기 침체 등으로 어려움을 겪고 있는 대구지역 소상공인의 출산·양육 지원을 통해 저출생 대응 및 안정적인 경영 여건을 조성하기 위해 다음과 같이 「대구행복진흥사회서비스원-사회복지공동모금회(대구지회) 대구 소상공인 맞춤형 출산ㆍ양육 행복플러스」사업의 지원대상을 다음과 같이 모집합니다  ☞ 대구시에 주소와 사업장을 둔 소상공인 - 2024. 1. 1. 이전부터 대구시에 사업자등록증명원 소재지 및 주소지 유지 ※ 상세 사업별 신청자격 공고문 참조  ☞ 출산 소상공인 양육비 250만원, 무주택 소상공인 육아응원금 100만원 지원 ※ 자세한 지원내용 공고문 참조 사업신청방법설명 이메일 접수 - 출산 소상공인 양육비 지원 : syj8017@daegu.pass.or.kr - 무주택 소상공인 육아응원금 지원 : picatcu2@daegu.pass.or.kr ※ 자세한 신청방법 공고문 참조 첨부파일 file_download대구 소상공인 맞춤형 출산·양육지원 사업 모집 공고(25년_사업 4차)_(최종).PDF file_download대구 소상공인 맞춤형 출산양육지원사업 Q&A_(최종).PDF file_download서식4호_무주택 임차 소상공인 육아응원금_신청서.HWP file_download서식2호_출산소상공인 양육비_신청서.HWP 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 공고이동 목록","file_download대구 소상공인 맞춤형 출산·양육지원 사업 모집 공고(25년_사업 4차)_(최종).PDF, file_download대구 소상공인 맞춤형 출산양육지원사업 Q&A_(최종).PDF, file_download서식4호_무주택 임차 소상공인 육아응원금_신청서.HWP, file_download서식2호_출산소상공인 양육비_신청서.HWP"
유관사업 공고조회,[경기] 포천시 2026년 소공인가구지원센터 운영 지원,"공고명 [경기] 포천시 2026년 소공인가구지원센터 운영 지원 사업 공고 지원대상 소상공인 소관기관 경기도 지원분야(대) 경영 지원분야(중) 디자인/상품화/사업화 사업수행기관 경기대진테크노파크 문의처 경기대진테크노파크 소공인지원팀 (031-539-5153) 신청기간 2026-01-06 ~ 2026-12-31 공고내용 (재)경기대진테크노파크는 포천시 소재 가구ㆍ공예 제조 소공인의 안정적인 재기와 성장을 위하여 포천시와 함께 「2026년 포천시 소공인가구지원센터 운영 지원사업」을 공고하오니 많은 참여 바랍니다.  ☞ 포천시 소재 가구제조업 소공인 (상시근로자 수 10인 미만)  ☞ 원목가공장비 및 공동작업장 활용, 촬영 스튜디오 활용, 공동장비활용 임가공 제작, 소공인 사업화 시작품 제작 등 지원 사업신청방법설명 방문 및 이메일, 팩스 접수 - 접수처 : (11165) 경기도 포천시 가산면 포천로912번길 147-2 포천시소공인가구지원센터(2층) - 이메일 : pfsc@gdtp.or.kr - 팩스 : 031-541-5075 첨부파일 file_download2026년_포천시소공인가구지원센터_운영지원사업_공고.PDF 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 공고이동 목록",file_download2026년_포천시소공인가구지원센터_운영지원사업_공고.PDF
유관사업 공고조회,[부산] 2025년 폐업소상공인 희망두배통장 지원사업(,"공고명 [부산] 2025년 폐업소상공인 희망두배통장 지원사업(2026년 이월분) 참여자 추가 모집 공고 지원대상 소상공인 소관기관 부산광역시 지원분야(대) 경영 지원분야(중) 시설/입지지원 사업수행기관 부산경제진흥원 문의처 부산경제진흥원 산업인력지원단 051-888-6902, 6904 신청기간 예산 소진시까지 공고내용 부산경제진흥원에서는 2025년 1월 1일 이후 취업한 폐업소상공인에게 「희망두배통장 지원사업(목돈마련)」을 다음과 같이 공고합니다.  ☞ 2025년 1월 1일 이후 취업한 폐업소상공인 누구나 - ‘25.1.1. 기준 만 15세 이상~69세 이하인 자 - 신청일 기준 부산광역시에 주민등록이 되어 있는 자 - 폐업소상공인으로 ‘25.1.1. 이후 취업한 자 - 부산 소재 기업에 정규직 또는 계약직으로 취업한 자  ☞ 폐업소상공인 취업 시 목돈마련 지원 - (선정 후) 월 30만원, 6개월 납입(6개월 납입완료 시 지원금 일괄 지급) - (만기 시) 개인 납입액 180만원+부산시 지원금 180만원 사업신청방법설명 온라인 접수 (부산일자리정보망) 첨부파일 file_download폐업소상공인 희망두배통장 지원사업 공고문.HWP file_download희망두배통장.JPG file_download폐업소상공인 희망두배통장 지원사업 신청서식.HWP file_download폐업소상공인 희망두배통장 신청방법.PPTX file_download폐업소상공인 희망두배통장 지원사업_신청전 필독사항(안내 및 FAQ).HWP 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 공고이동 목록","file_download폐업소상공인 희망두배통장 지원사업 공고문.HWP, file_download희망두배통장.JPG, file_download폐업소상공인 희망두배통장 지원사업 신청서식.HWP, file_download폐업소상공인 희망두배통장 신청방법.PPTX, file_download폐업소상공인 희망두배통장 지원사업_신청전 필독사항(안내 및 FAQ).HWP"
유관사업 공고조회,[충남] 아산시 2025년 4분기분 소상공인 사회보험료,공고명 [충남] 아산시 2025년 4분기분 소상공인 사회보험료 지원사업 공고 지원대상 소상공인 소관기관 충청남도 지원분야(대) 금융 지원분야(중) 보험(수출+무역) 사업수행기관 기초자치단체 문의처 아산시청 지역경제과 041-530-6041 신청기간 2026-01-05 ~ 2026-01-23 공고내용 아산시 영세 소상공인의 경영 부담을 완화하고 근로자의 고용불안 해소를 위하여「소상공인 사회보험료 지원사업」을 다음과 같이 공고합니다.  ☞ 도내 소재 10인 미만 근로자를 고용하고 있는 소상공인 중 정부 두루누리 사회보험료 지원을 받고 있는 사업주 - 2025년 4분기(10~12월) 월 보수액 270만 원 미만 근로자를 1개월 이상 고용 유지한 사업주  ☞ 두루누리 사회보험료 지원금을 제외한 국민ㆍ고용 사업주 부담금 中 2025년 4분기분 납부액(사업주 부담금의 20%) 지원 사업신청방법설명 방문 또는 이메일 접수 - 접수처 : 아산시청 별관 3층 지역경제과 - 이메일 : db2152@korea.kr ※ 자세한 신청방법 공고문 참조 첨부파일 file_download(공고문) 2025년 4분기 사회보험료 지원 공고.HWP file_download(붙임) 소상공인 사회보험료 지원사업 신청서식.HWP 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 공고이동 목록,"file_download(공고문) 2025년 4분기 사회보험료 지원 공고.HWP, file_download(붙임) 소상공인 사회보험료 지원사업 신청서식.HWP"
유관사업 공고조회,[충남] 2026년 소상공인자금 융자 지원계획 공고,"공고명 [충남] 2026년 소상공인자금 융자 지원계획 공고 지원대상 소상공인 소관기관 충청남도 지원분야(대) 금융 지원분야(중) 융자 사업수행기관 충남신용보증재단 문의처 충남 신용보증재단 본점 1588-7310 영업점별 문의처 공고문 9p 참조 신청기간 예산 소진시까지 공고내용 「충청남도 중소기업육성기금 설치 및 운용 조례」 제20조 및 같은 조례 시행규칙 제4조의 규정에 따라 2026년도 충청남도 소상공인자금 융자 지원계획을 다음과 같이 공고합니다.  ☞ 충청남도에 사업장이 소재하는 소기업ㆍ소상공인  ☞ 소상공인자금 융자한도 최대 1.5억원 이내, 1.5% 이자보전 지원 ※ 자세한 지원내용 공고문 참조 사업신청방법설명 온라인 및 방문 접수 - 온라인 : 신용보증재단 보증드림 앱(App) 또는 각 은행 앱(App), 충남신용보증재단 - 방문 : 충남신용보증재단 각 영업점(공고문 9p 참조) 첨부파일 file_download2026년 충청남도 소상공인자금 융자 지원계획 공고.HWP 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 공고이동 목록",file_download2026년 충청남도 소상공인자금 융자 지원계획 공고.HWP
유관사업 공고조회,[대전] 유성구 2026년 소상공인 특례보증 지원사업,"공고명 [대전] 유성구 2026년 소상공인 특례보증 지원사업 공고 지원대상 소상공인 소관기관 대전광역시 지원분야(대) 금융 지원분야(중) 융자 사업수행기관 기초자치단체 문의처 유성구 일자리정책과(042-611-2099), 대전신용보증재단 유성지점(042-380-3807), 하나은행 전 지점(042-863-1111) 신청기간 예산 소진시까지 공고내용 장기화된 경기침체 및 소비심리 위축 등으로 피해가 극심한 소상공인의 경영애로를 해소하고 경영정상화를 도모하고자 추진하는 2026년 유성구 소상공인 특례보증 지원사업을 아래와 같이 공고합니다  ☞ 유성구에 사업장을 두고 3개월 이상 영업중인 일반 소상공인, 개업일 기준 만 3년 미만의 창업기업 ※ 자세한 지원대상 공고문 참조  ☞ 1업체당 최대 3천만원 한도 이내(보증심사를 거쳐 보증금액 확정) 보증(대출) 지원, 보증수수료 2년치 전액 지원(보증금액의 연 1.1%) ※ 자세한 지원내용 공고문 참조 사업신청방법설명 온라인 접수(보증드림 앱 또는 하나은행 앱) ※ 만 70세이상 고령자 대면 접수 가능(대전 내 하나은행 또는 신용보증재단 영업점 방문) 첨부파일 file_download2026년 유성구 소상공인 특례보증 지원사업 공고.HWP 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 공고이동 목록",file_download2026년 유성구 소상공인 특례보증 지원사업 공고.HWP
유관사업 공고조회,[부산] 사상구 2026년 소상공인 보증료 지원사업 대,"공고명 [부산] 사상구 2026년 소상공인 보증료 지원사업 대상자 모집 공고 지원대상 소상공인 소관기관 부산광역시 지원분야(대) 금융 지원분야(중) 보증 사업수행기관 기초자치단체 문의처 사상구청 일자리경제과 051-310-4616 신청기간 예산 소진시까지 공고내용 「부산광역시 사상구 소상공인 지원에 관한 조례」 제6조(창업 및 경영 안정 지원), 제7조(특례보증 또는 보증료 지원)에 따라 「2026년 소상공인 보증료 지원사업」대상자를 다음과 같이 모집하오니 많은 참여 바랍니다.  ☞ 사상구 관내 소상공인(아래 요건을 모두 충족하는 자) -「소상공인기본법」 제2조에 따른 소상공인 - 우리 구에 사업장을 두고「소득세법」제168조 또는「부가가치세법」제8조에 따라 관할 세무서에 사업자 등록을 하고 영업행위를 하는 소상공인  ☞ 신용보증기관을 통한 대출 진행 시 보증료 일부 지원 - 소상공인 1명당 5천만원 이내 / 최초 1년치 보증료 지원  사업신청방법설명 온라인 및 방문 접수 - 온라인 : 구 홈페이지 - 접수처 : 부상광역시 사상구청 일자리경제과 첨부파일 file_download공고문(2026년 소상공인 보증료 지원사업).HWP 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 공고이동 목록",file_download공고문(2026년 소상공인 보증료 지원사업).HWP
유관사업 공고조회,[경북] 소상공인 비즈니스플랜 콘테스트 보조사업자 모집,"공고명 [경북] 소상공인 비즈니스플랜 콘테스트 보조사업자 모집 공고 지원대상 사회적기업 소관기관 경상북도 지원분야(대) 경영 지원분야(중) 컨설팅 사업수행기관 직접수행 문의처 경상북도 민생경제과 소상공인팀 (054-880-2632) 신청기간 2025-12-30 ~ 2026-01-14 공고내용 지방자치단체 보조금 관리에 관한 법률 제7조, 경상북도 보조금 관리 조례 제5조의 규정에 의거 「소상공인 비즈니스플랜 콘테스트」 사업에 대한 보조금 지원 대상자 선정을 위해 다음과 같이 공고합니다.  ☞ 지방재정법 제17조 및 같은법 시행령 제29조, 경상북도 보조금 관리 조례에 근거하여 보조할 수 있는 비영리법인, 단체 또는 (예비)사회적기업 - 경상북도에 소재지를 두고 최근 3년 이내 관련 분야의 경험이 있는 비영리법인, 단체 또는 (예비)사회적기업   ☞ 소상공인 비즈니스플랜 콘테스트 계획 수립, 아이디어 공모, 창업기초교육 등 창업아카데미 개설, 콘테스트 개최를 통한 대상자 선정, 직무교육, 홍보, 인테리어 등 사업화자금 전문컨설팅 지원 사업신청방법설명 온라인 접수 (지방보조금관리시스템(보탬e)) 첨부파일 file_download소상공인 비즈니스 플랜 콘테스트 공모 공고.HWP 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 공고이동 목록",file_download소상공인 비즈니스 플랜 콘테스트 공모 공고.HWP
유관사업 공고조회,[경북] 2026년 소상공인육성자금(경북버팀금융) 이차,"공고명 [경북] 2026년 소상공인육성자금(경북버팀금융) 이차보전 지원 계획 공고 지원대상 소상공인 소관기관 경상북도 지원분야(대) 금융 지원분야(중) 융자 사업수행기관 경북신용보증재단 문의처 기업지원과 054-880-2679 및 영업점별 문의처 공고문 p.5 참조 신청기간 상시 접수 공고내용 담보력이 부족한 지역 소상공인에게 신용보증을 통한 융자지원 및 대출이자 지원으로 서민경제 안정과 자생력 강화를 도모합니다.   ☞ 경북도내에 소재하고 있는 「소상공인기본법 제2조(정의)」에 의한 소상공인(개인, 법인사업자) - 제조업, 건설업, 운수업, 광업 : 상시종업원 10인 미만 업체 - 도ㆍ소매업, 요식업, 서비스업 등 : 상시종업원 5인 미만 업체  ☞ 융자한도 최대 3천만원 지원 - 우대업체(5천만원 이내), 특별재난지역 내 재해피해 기업(3억원 이내) 사업신청방법설명 방문 및 온라인 접수 - 접수처 : 경북신용보증재단 사업장 소재지 관할 영업점 및 협약 대출은행 - 온라인 : ‘보증드림’스마트폰 어플을 통한 온라인 신청 ※ 자세한 지원방법 공고문 참조 첨부파일 file_download2026년도 소상공인육성자금 지원 계획.HWP 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 공고이동 목록",file_download2026년도 소상공인육성자금 지원 계획.HWP
소진공 공고조회,2026년 중소벤처기업부 소상공인 지원사업 통합 공고,"공고꾸러미 추가 스크랩 추가 공고명 2026년 중소벤처기업부 소상공인 지원사업 통합 공고 모집유형 소상공인 지원사업유형명 소상공인24-소상공인24 미사용 사업 공고등록 전용 사업기간 2026-01-01 ~ 2026-12-31 접수기간 2025-12-01 00:00 ~ 2026-12-31 00:00 공고내용 중소벤처기업부 공고 제2025-652호   2026년 중소벤처기업부 소상공인 지원사업 통합 공고   영세 소상공인의 경영 부담을 줄이고, 유망 소상공인의 성장 가능성을 극대화하기 위해 �2026년 소상공인 지원사업을 다음과 같이 공고합니다.   ※ 7개분야 26개사업 1조 3,410억원 규모(’25년 7개분야 23개사업 8,170억원 규모)   2025년 12월 29일 중 소 벤 처 기 업 부 장 관   공고문 미리보기 첨부파일 file_download2026년_중소벤처기업부_소상공인_지원사업_통합_공고.PDF [723.3KB] picture_as_pdf미리보기 연관주제어 등록된 연관주제어가 없습니다. 상담신청기간 2026-12-31 ~ 2026-12-31 카카오톡으로 공유하기 페이스북으로 공유하기 트위터로 공유하기 URL복사 thumb_up좋아요 29   상담신청 목록","file_download2026년_중소벤처기업부_소상공인_지원사업_통합_공고.PDF [723.3KB], picture_as_pdf미리보기"
