카테고리,공고제목,공고대상,지원사업유형명,사업기간,접수기간,공고내용
소진공 공고조회,2026년 중소벤처기업부 소상공인 지원사업 통합 공고,소상공인,소상공인24-소상공인24 미사용 사업 공고등록 전용,2026-01-01 ~ 2026-12-31,2025-12-01 00:00 ~ 2026-12-31 00:00,"중소벤처기업부 공고 제2025-652호   2026년 중소벤처기업부 소상공인 지원사업 통합 공고   영세 소상공인의 경영 부담을 줄이고, 유망 소상공인의 성장 가능성을 극대화하기 위해 �2026년 소상공인 지원사업을 다음과 같이 공고합니다.   ※ 7개분야 26개사업 1조 3,410억원 규모(’25년 7개분야 23개사업 8,170억원 규모)   2025년 12월 29일 중 소 벤 처 기 업 부 장 관"
소진공 공고조회,2026년 소상공인 고용보험료 지원사업 공고,소상공인,자영업자 고용보험료 지원사업-자영업자 고용보험료 지원사업,2026-01-01 ~ 2026-12-31,2026-01-01 00:00 ~ 2026-12-31 23:59,"「2026년 소상공인 고용보험료 지원사업」 공고  소상공인에게 보험료를 지원하여 ‘자영업자 고용보험’ 가입·유지 비용 부담을 완화하고, 사회안전망으로 편입을 촉진하고자「2026년 소상공인 고용보험료 지원사업」을 다음과 같이 공고합니다.  2025년 12월 29일 중소벤처기업부 장관   자세한 사항은 첨부파일을 확인하여 주시기 바랍니다."
소진공 공고조회,서울 문래 기계금속 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-07-01 ~ 2026-01-31,2025-07-01 00:00 ~ 2026-02-01 00:00,"서울 문래 기계금속 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 서울 문래 기계금속 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 8월 12일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-3667-8288 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,서울 상생 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-07-01 ~ 2026-01-31,2025-07-01 00:00 ~ 2026-02-01 00:00,"서울 상생 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 서울 상생 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 7월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-743-3771 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,파주 출판인쇄 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-07-01 ~ 2026-01-31,2025-07-01 00:00 ~ 2026-01-31 00:00,"파주 출판인쇄 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 파주 출판인쇄 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 7월 8일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 031-941-6001  - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,무안 도자 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-02-01 ~ 2026-01-31,2025-04-22 00:00 ~ 2026-01-31 00:00,"무안 도자 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 무안 도자 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 22일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 061-450-6357  - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,포천 가산 가구 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-03-31 ~ 2026-01-31,2025-04-16 00:00 ~ 2026-01-31 23:59,"포천 가산 가구 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 포천 가산 가구소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월 9일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 063-902-0003 / 063-902-1105 / 063-902-1106 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,전북 상생 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-16 ~ 2026-01-31,2025-04-16 00:00 ~ 2026-01-31 23:59,"전북 상생 소공인특화지원센터 지원사업 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 전북 상생 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월11일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 070-4176-3209 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,경남 상생 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-04-16 ~ 2026-01-31,2025-04-16 00:00 ~ 2026-01-31 23:59,"경남 상생 소공인특화지원센터 지원사업 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 경남 상생 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월11일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-724-1108 - 시스템 문의(오류 등) : 1644-5302"
소진공 공고조회,서울 창신 의류제조 소공인특화지원센터 소공인 모집 공고,소상공인/예비창업자,지역소공인 육성-소공인 특화지원센터 설치∙운영,2025-02-01 ~ 2026-01-31,2025-04-11 00:00 ~ 2026-01-31 00:00,"서울 창신 의류제조 소공인특화지원센터 소공인 모집 공고  소공인의 집적지 활성화와 소공인의 성장·발전을 지원하기 위한 「지역소공인육성-소공인특화지원센터」 서울 창신 의류제조 소공인특화지원센터의 지원사업을 공고하오니 소공인의 많은 참여 바랍니다.   □ 사업개요 : ①상호 정보교류, 경영·기술역량 배양 등을 위한 교육사업 ② 협업을 통한 공동개발, 네트워크 구축 등 지역·업종에 특화된 사업, 디자인, 제품 개발 등 □ 지원대상 : 집적지 내 또는 집적지 인근 소공인 □ 지원규모와 신청서류 :  센터별 사업 세부내용 및 각 사업별 모집시기 상이하므로, 소공인특화지원센터에 문의  2025년 4월11일 소상공인시장진흥공단 이사장   ※ 문의처 ※ - 사업문의 : 02-741-5365 / 02-741-5364 / 02-741-5366 - 시스템 문의(오류 등) : 1644-5302"
