지역,카테고리,첨부파일 여부,공고제목,금리(%),최대한도(만원),지원대상,용도,취급기관,대출기간(년),상환방법,대출한도(만원),총대출기간(년),금리(%)(금리구분),지원대상 상세조건,소득기준,신용조건,연령대,특이사항,제공기관/취급기관,문의처,신청(가입)방법,중도상환수수료,대출부대비용,연체이자율(%),우대/가산금리 조건,기타 참고사항,관련사이트,운영기한
경상남도,대출상품 조회,0,소상공인 비즈플러스 카드보증,-,1000,소상공인,-,기업은행,1,만기 일시상환,1000,1(상환1/거치0),-,다음 조건을 모두 충족 1. 대표자(실제경영자)의 개인신용평점이 595점 이상 839점 이하 2. 연매출 12백만원 이상 또는 최근 2개월(전월과 전전월) 매출액 2백만원 이상인 기업,연매출 12백만원 이상,대표자(실제경영자)의 개인신용평점이 595점 이상 839점 이하,없음,,경남신용보증재단 / 기업은행,055-715-5130,-,-,보증료 0.8%,-,-,보증비율 90%,https://gcgf.gnsinbo.or.kr/bbs/board.php?bo_table=02_01&wr_id=11&sfl=wr_subject&stx=%EC%86%8C%EC%83%81%EA%B3%B5%EC%9D%B8+%EB%B9%84%EC%A6%88%ED%94%8C%EB%9F%AC%EC%8A%A4+%EC%B9%B4%EB%93%9C%EB%B3%B4%EC%A6%9D&sop=and,2025.7.14~자금 소진시까지
대구광역시,대출상품 조회,1,2025년 중구 소상공인 경영안정자금 지원 특례보증,은행별 상이,3000 * 같은 기업 당 보증금액 7000 이내,소상공인,운영,아이엠뱅크,"2,5",일시상환 또는 분할상환,3000 * 같은 기업 당 보증금액 7000 이내(은행금리),"2,5(상환3/거치2)",은행별 상이(은행금리),"아래 4가지 사항을 모두 충족하는 소상공인① 공부상·실제 사업장이 중구 소재 기업일 것② 보증신청 접수일 현재 개업(설립)일로부터 3개월 이상 영업 중일 것③ 접수일 현재 대표자의 개인신용평점이 595점 이상일 것④ 접수일 현재 국가, 대구광역시 또는 그 밖의 기관으로부터 소상공인 정책자금을 지원받고 있는 사실이 없을 것",없음,접수일 현재 대표자의 개인신용평점이 595점 이상일 것,없음,-,대구신용보증재단 / 아이엠뱅크,중앙지점 : 053-256-0300,관할구역 영업점 문의,없음,보증료율 연 0.8% 고정 (100% 전액보증),-,없음,2년간 대출이자 중 2% 지원,https://www.dgsinbo.or.kr/page/10067/10117.tc?pageDtlOrdrNo=1&boardMngNo=3&boardNo=7939&importUrl=/board/view.tc,2025년 2월 1일 ~ 자금소진시
강원특별자치도,대출상품 조회,0,2025 강원특별자치도 소상공인 경영안정자금 협약보증(상반기),2,5000,소상공인,-,"농협, 신한, 국민, 하나, 우리",2,원금균등분할상환,5000,2(상환2/거치2),2,"강원특별자치도 내 소재하는 소상공인으로 개인사업자이며, 대표자 개인신용평점 595점 이상인 기업",없음,대표자 개인신용평점 595점 이상인 기업,없음,,"강원신용보증재단 / 농협, 신한, 국민, 하나, 우리",033-260-0001,"비대면 신청(보증드림), 대면 신청(상담예약 후 지점 방문)",-,"보증료 0.8% (2년간 보증료 지원, 분할상환의 경우 2년의 거치기간만 지원)",-,-,-,https://www.gwsinbo.or.kr/board/board_view.php?view_id=156&board_name=product&page=1,한도 소진 시까지
강원특별자치도,대출상품 조회,0,2025 원주시 출연 소상공인 협약보증,3,5000,소상공인,-,"NH농협은행, 국민은행, 기업은행, SH수협은행, 신한은행, 우리은행, 하나은행, SC제일은행, 원주원예농협, 원주축협, 농협(원주, 문믹, 남원주, 판부, 신림, 소초), 새마을금고, 원주신협, 밝음신협, iM뱅크",5,-,5000,5(상환5),3,원주시 내 소재하는 소상공인으로 아래 조건을 충족하는 개인사업자 1) 재단 소상공인신용평가시스템 신용등급이 B등급 이상인 기업 2) 타 보증기관의 보증잔액이 없는 기업,없음,재단 소상공인신용평가시스템 신용등급 B등급 이상인 기업,없음,,"강원신용보증재단 / NH농협은행, 국민은행, 기업은행, SH수협은행, 신한은행, 우리은행, 하나은행, SC제일은행, 원주원예농협, 원주축협, 농협(원주, 문믹, 남원주, 판부, 신림, 소초), 새마을금고, 원주신협, 밝음신협, iM뱅크",033-260-0001,"비대면 신청(보증드림), 대면 신청(상담예약 후 지점 방문)",,보증료 0.8%,-,-,-,https://www.gwsinbo.or.kr/board/board_view.php?view_id=154&board_name=product&page=1,한도 소진 시까지
강원특별자치도,대출상품 조회,0,2025 속초시 출연 소상공인 협약보증(변경),-,본건 7000(같은기업당 재단보증금액 1억5천만원 이내),소상공인,-,재단과 협약 체결한 금융회사,-,일시상환 또는 분할상환,본건 7000(같은기업당 재단보증금액 1억5천만원 이내),-,-,"속초시 관내에 사업자등록 후 가동 중인 소상공인 중 아래 조건을 충족하는 개인사업자 1. 재단 내부신용평가 ""B"" 등급 이상인 기업 2. 타 지역신용보증재단의 보증잔액이 없는 기업",없음,"재단 내부신용평가 ""B 등급 이상인 기업",없음,,강원신용보증재단 / 재단과 협약 체결한 금융회사,033-260-0001,"비대면 신청(보증드림), 대면 신청(상담예약 후 지점 방문)",-,보증료 0.8%,-,-,-,https://www.gwsinbo.or.kr/board/board_view.php?view_id=155&board_name=product&page=1,한도 소진 시까지
강원특별자치도,대출상품 조회,1,2025 강원특별자치도 소상공인 경영안정자금 협약보증(하반기),2,5000,"소상공인, 기업",-,"농협, 신한, 국민, 하나, 우리",2,원금균등분할상환,5000,2(상환2/거치2),2,"강원특별자치도내 소재하는 소상공인으로 개인사업자이며, 대표자 개인신용평점 595점 이상인 기업",없음,대표자 개인신용평점 595점 이상인 기업,없음,,"강원신용보증재단 / 농협, 신한, 국민, 하나, 우리",033-260-0001,"비대면 신청(보증드림), 대면 신청(상담예약 후 지점 방문)",-,"보증료 0.8% (2년간 보증료 지원, 분할상환의 경우 2년의 거치기간만 지원)",-,-,-,https://www.gwsinbo.or.kr/board/board_view.php?view_id=156&board_name=product&page=1,한도 소진 시까지
대구광역시,대출상품 조회,1,2025년 서구 소상공인 경영안정자금 지원 특례보증,은행별 상이,3000 * 같은 기업 당 보증금액 7000 이내,소상공인,운영,아이엠뱅크,"2,5",일시상환 또는 분할상환,3000 * 같은 기업 당 보증금액 7000 이내(은행금리),"2,5(상환3/거치2)",은행별 상이(은행금리),"아래 4가지 사항을 모두 충족하는 소상공인① 공부상·실제 사업장이 서구 소재 기업일 것② 보증신청 접수일 현재 개업(설립)일로부터 3개월 이상 영업 중일 것③ 접수일 현재 대표자의 개인신용평점이 595점 이상일 것④ 접수일 현재 국가, 대구광역시 또는 그 밖의 기관으로부터 소상공인 정책자금을 지원받고 있는 사실이 없을 것",없음,접수일 현재 대표자의 개인신용평점이 595점 이상일 것,없음,-,대구신용보증재단 / 아이엠뱅크,서지점 : 053-571-2500,관할구역 영업점 문의,없음,보증료율 연 0.8% 고정 (100% 전액보증),-,없음,2년간 대출이자 중 2% 지원,https://www.dgsinbo.or.kr/page/10067/10117.tc?pageDtlOrdrNo=1&boardMngNo=3&boardNo=7943&importUrl=/board/view.tc,2025년 2월 3일 ~ 자금소진시
경상남도,대출상품 조회,0,소상공인 비즈플러스 카드보증,-,1000,소상공인,-,기업은행,1,만기 일시상환,1000,1(상환1/거치0),-,다음 조건을 모두 충족 1. 대표자(실제경영자)의 개인신용평점이 595점 이상 839점 이하 2. 연매출 12백만원 이상 또는 최근 2개월(전월과 전전월) 매출액 2백만원 이상인 기업,연매출 12백만원 이상,대표자(실제경영자)의 개인신용평점이 595점 이상 839점 이하,없음,,경남신용보증재단 / 기업은행,055-715-5130,-,-,보증료 0.8%,-,-,보증비율 90%,https://www.gnsinbo.or.kr,2025.7.14~자금 소진시까지
강원특별자치도,대출상품 조회,0,2025 고성군 출연 소상공인 협약보증,-,5000,"소상공인(개인사업자), 기업",-,농협은행 고성군지부,5,만기일시상환,5000,5(상환2),-,고성군 관내에서 정상가동(영업) 중으로 아래 조건을 모두 충족하는 소상공인(개인사업자) 1. 고성군에 3개월 이상 사업장과 주민등록을 두고 운영 중인 기업 2. 재단의 보증심사규정에 저촉되지 않는 기업,없음,없음,없음,,강원신용보증재단 / 농협은행 고성군지부,033-260-0001,"비대면 신청(보증드림), 대면 신청(상담예약 후 지점 방문)",-,보증료 0.8%,-,-,-,https://www.gwsinbo.or.kr/board/board_view.php?view_id=167&board_name=product&page=1,한도 소진 시까지
경상남도,대출상품 조회,0,중소벤처기업부 정책자금(소상공인시장진흥공단 정책자금 지원대상 확인서 발급 대상자),-,최대 10000,소상공인,-,경남신용보증재단,"5,7",분할상환,최대 10000,"5,7(상환3,5/거치2)",-,"경상남도에서 사업 중인 소상공인으로 소상공인시장진흥공단으로부터 ""소상공인 정책자금 지원 대상 확인서""를 발급 받은 소상공인",없음,없음,없음,,경남신용보증재단 / 경남신용보증재단,055-715-5130,-,-,사업자에 따라 상이 (연 평균 1.2% 전후),-,-,보증비율 85%,https://www.gnsinbo.or.kr,소상공인시장진흥공단 자금 운용기간에 따름
